기간	지역	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	지역	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	등록외국인	등록외국인	등록외국인
기간	지역	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2013.1/4	합계	10,437,737	5,155,053	5,282,684	1,130,508	493,688	636,820	1,124,282	490,897	633,385	6,226	2,791	3,435
2013.1/4	종로구	170,681	84,719	85,962	23,853	10,464	13,389	23,686	10,378	13,308	167	86	81
2013.1/4	중구	140,127	70,339	69,788	19,100	8,147	10,953	18,888	8,043	10,845	212	104	108
2013.1/4	용산구	254,749	124,300	130,449	33,404	13,998	19,406	33,137	13,846	19,291	267	152	115
2013.1/4	성동구	309,312	154,328	154,984	34,721	15,000	19,721	34,581	14,945	19,636	140	55	85
2013.1/4	광진구	383,806	188,983	194,823	36,427	16,168	20,259	36,192	16,055	20,137	235	113	122
2013.1/4	동대문구	374,958	187,614	187,344	47,493	20,949	26,544	47,298	20,868	26,430	195	81	114
2013.1/4	중랑구	422,877	211,313	211,564	47,289	20,682	26,607	47,202	20,649	26,553	87	33	54
2013.1/4	성북구	490,566	240,894	249,672	58,968	25,416	33,552	58,808	25,349	33,459	160	67	93
2013.1/4	강북구	345,850	170,629	175,221	46,923	20,580	26,343	46,835	20,539	26,296	88	41	47
2013.1/4	도봉구	363,682	179,569	184,113	43,014	18,847	24,167	42,973	18,830	24,143	41	17	24
2013.1/4	노원구	599,564	292,822	306,742	62,128	25,087	37,041	62,043	25,052	36,991	85	35	50
2013.1/4	은평구	507,644	248,863	258,781	62,014	27,042	34,972	61,862	26,969	34,893	152	73	79
2013.1/4	서대문구	326,604	158,732	167,872	42,888	18,154	24,734	42,531	17,992	24,539	357	162	195
2013.1/4	마포구	393,330	190,365	202,965	44,918	19,086	25,832	44,635	18,966	25,669	283	120	163
2013.1/4	양천구	500,181	248,503	251,678	44,407	19,011	25,396	44,264	18,944	25,320	143	67	76
2013.1/4	강서구	573,808	281,899	291,909	56,904	24,403	32,501	56,693	24,291	32,402	211	112	99
2013.1/4	구로구	454,009	228,729	225,280	46,170	20,994	25,176	45,378	20,652	24,726	792	342	450
2013.1/4	금천구	260,107	133,531	126,576	27,388	12,243	15,145	26,945	12,041	14,904	443	202	241
2013.1/4	영등포구	426,012	214,627	211,385	47,053	21,160	25,893	46,117	20,763	25,354	936	397	539
2013.1/4	동작구	419,500	206,243	213,257	48,218	21,244	26,974	48,001	21,160	26,841	217	84	133
2013.1/4	관악구	540,467	273,521	266,946	57,670	26,012	31,658	57,226	25,834	31,392	444	178	266
2013.1/4	서초구	442,600	214,105	228,495	42,723	19,446	23,277	42,596	19,386	23,210	127	60	67
2013.1/4	강남구	568,982	273,499	295,483	51,389	22,879	28,510	51,226	22,801	28,425	163	78	85
2013.1/4	송파구	676,551	331,219	345,332	59,511	26,458	33,053	59,335	26,380	32,955	176	78	98
2013.1/4	강동구	491,770	245,707	246,063	45,935	20,218	25,717	45,830	20,164	25,666	105	54	51
